Frequency (Hz),Voltage (V),Current (mA),Power (mW)
2000,1.13,-0.36,-0.40679999999999994
2000,1.14,-0.36,-0.41039999999999993
2000,1.14,0.18,0.20519999999999997
2000,1.14,0.0,0.0
2000,1.14,0.18,0.20519999999999997
4000,1.01,-0.36,-0.3636
4000,1.01,-0.18,-0.1818
4000,1.02,-0.27,-0.27540000000000003
4000,1.0,0.09,0.09
4000,1.01,-0.18,-0.1818
6000,1.01,-0.09,-0.0909
6000,1.01,-0.27,-0.2727
6000,1.0,-0.36,-0.36
6000,1.02,0.0,0.0
6000,1.0,-0.36,-0.36
8000,1.01,-0.36,-0.3636
8000,1.01,-0.27,-0.2727
8000,1.0,-0.27,-0.27
8000,1.0,0.0,0.0
8000,1.01,-0.27,-0.2727
10000,1.01,0.18,0.1818
10000,1.0,0.0,0.0
10000,1.01,-0.18,-0.1818
10000,1.0,-0.27,-0.27
10000,1.01,-0.09,-0.0909
12000,1.01,-0.27,-0.2727
12000,1.0,0.0,0.0
12000,1.01,-0.27,-0.2727
12000,1.0,0.0,0.0
12000,1.0,-0.27,-0.27
14000,1.01,-0.27,-0.2727
14000,1.0,-0.09,-0.09
14000,1.01,0.0,0.0
14000,1.01,0.09,0.0909
14000,1.01,0.0,0.0
16000,1.01,-0.09,-0.0909
16000,1.01,0.0,0.0
16000,1.01,0.18,0.1818
16000,1.0,-0.18,-0.18
16000,1.0,-0.09,-0.09
18000,1.01,0.09,0.0909
18000,1.01,-0.09,-0.0909
18000,1.0,-0.36,-0.36
18000,1.01,-0.18,-0.1818
18000,1.01,-0.36,-0.3636
20000,1.01,-0.18,-0.1818
20000,1.01,-0.27,-0.2727
20000,1.01,-0.09,-0.0909
20000,1.01,0.18,0.1818
20000,1.01,0.0,0.0
22000,1.0,-0.09,-0.09
22000,1.0,-0.36,-0.36
22000,1.01,-0.27,-0.2727
22000,1.01,0.0,0.0
22000,1.0,-0.09,-0.09
24000,1.0,-0.09,-0.09
24000,1.0,-0.09,-0.09
24000,1.01,-0.09,-0.0909
24000,1.0,-0.27,-0.27
24000,1.0,-0.27,-0.27
26000,1.01,0.0,0.0
26000,1.0,-0.27,-0.27
26000,1.01,-0.09,-0.0909
26000,1.01,0.0,0.0
26000,1.0,-0.27,-0.27
28000,1.01,-0.36,-0.3636
28000,1.0,-0.27,-0.27
28000,1.0,-0.27,-0.27
28000,1.01,-0.09,-0.0909
28000,1.0,0.09,0.09
30000,1.01,-0.27,-0.2727
30000,1.01,-0.36,-0.3636
30000,1.0,-0.09,-0.09
30000,1.01,-0.27,-0.2727
30000,1.01,0.09,0.0909
32000,1.01,-0.09,-0.0909
32000,1.0,-0.36,-0.36
32000,1.01,0.0,0.0
32000,1.01,0.0,0.0
32000,1.01,-0.09,-0.0909
34000,1.01,0.09,0.0909
34000,1.01,0.09,0.0909
34000,1.02,0.0,0.0
34000,1.0,0.09,0.09
34000,1.02,-0.36,-0.36719999999999997
36000,1.01,-0.09,-0.0909
36000,1.01,0.0,0.0
36000,1.01,-0.09,-0.0909
36000,1.02,0.09,0.09179999999999999
36000,1.02,0.09,0.09179999999999999
38000,1.01,-0.36,-0.3636
38000,1.0,0.0,0.0
38000,1.0,-0.09,-0.09
38000,1.0,0.18,0.18
38000,1.01,-0.18,-0.1818
40000,1.01,-0.27,-0.2727
40000,1.0,0.0,0.0
40000,1.0,-0.18,-0.18
40000,1.02,0.18,0.18359999999999999
40000,1.02,0.0,0.0
42000,0.99,0.0,0.0
42000,0.99,0.09,0.0891
42000,1.0,-0.36,-0.36
42000,0.99,-0.18,-0.1782
42000,1.0,0.36,0.36
44000,1.0,0.09,0.09
44000,0.96,-0.27,-0.2592
44000,0.98,-0.27,-0.2646
44000,0.99,0.0,0.0
44000,0.98,-0.18,-0.1764
46000,1.01,0.18,0.1818
46000,1.01,-0.09,-0.0909
46000,1.01,0.0,0.0
46000,1.01,-0.18,-0.1818
46000,1.01,-0.09,-0.0909
48000,1.0,0.0,0.0
48000,1.01,0.27,0.2727
48000,1.01,0.0,0.0
48000,1.0,-0.36,-0.36
48000,1.01,-0.09,-0.0909
50000,1.0,0.09,0.09
50000,1.0,-0.09,-0.09
50000,1.0,0.0,0.0
50000,1.0,-0.09,-0.09
50000,1.01,-0.27,-0.2727
52000,1.0,0.09,0.09
52000,1.0,0.18,0.18
52000,1.0,-0.27,-0.27
52000,1.01,0.0,0.0
52000,1.0,-0.09,-0.09
54000,1.01,-0.09,-0.0909
54000,1.0,0.0,0.0
54000,1.0,-0.27,-0.27
54000,1.0,0.0,0.0
54000,1.0,-0.27,-0.27
56000,1.0,-0.09,-0.09
56000,1.0,-0.09,-0.09
56000,1.01,0.27,0.2727
56000,1.0,-0.09,-0.09
56000,1.01,0.09,0.0909
58000,1.01,0.0,0.0
58000,1.01,0.09,0.0909
58000,1.0,0.0,0.0
58000,1.0,0.0,0.0
58000,1.01,0.0,0.0
60000,1.01,-0.09,-0.0909
60000,1.0,0.09,0.09
60000,1.01,-0.18,-0.1818
60000,1.0,-0.09,-0.09
60000,1.0,-0.18,-0.18
62000,1.01,-0.27,-0.2727
62000,1.0,-0.18,-0.18
62000,1.01,0.09,0.0909
62000,1.01,-0.09,-0.0909
62000,1.0,0.0,0.0
64000,1.0,0.0,0.0
64000,1.01,0.18,0.1818
64000,1.0,-0.27,-0.27
64000,1.0,-0.09,-0.09
64000,1.0,-0.27,-0.27
66000,1.0,-0.09,-0.09
66000,1.0,-0.09,-0.09
66000,1.01,0.18,0.1818
66000,1.01,-0.09,-0.0909
66000,1.01,-0.36,-0.3636
68000,1.0,0.09,0.09
68000,1.0,0.0,0.0
68000,1.01,0.0,0.0
68000,1.01,0.27,0.2727
68000,1.0,0.0,0.0
70000,1.0,0.09,0.09
70000,1.01,0.09,0.0909
70000,1.0,-0.27,-0.27
70000,1.0,0.0,0.0
70000,1.01,-0.18,-0.1818
72000,1.01,0.0,0.0
72000,1.01,-0.18,-0.1818
72000,1.01,0.18,0.1818
72000,1.01,-0.36,-0.3636
72000,1.0,0.0,0.0
74000,1.04,-0.27,-0.28080000000000005
74000,1.04,0.09,0.0936
74000,1.05,-0.09,-0.0945
74000,1.05,0.09,0.0945
74000,1.04,0.0,0.0
76000,1.06,0.09,0.0954
76000,1.05,-0.18,-0.189
76000,1.05,0.18,0.189
76000,1.06,-0.09,-0.0954
76000,1.06,-0.09,-0.0954
78000,1.0,0.0,0.0
78000,1.01,0.53,0.5353
78000,1.01,-0.09,-0.0909
78000,1.0,0.09,0.09
78000,1.01,0.27,0.2727
80000,1.0,0.27,0.27
80000,1.0,0.0,0.0
80000,1.01,0.36,0.3636
80000,1.0,-0.09,-0.09
80000,1.0,0.18,0.18
82000,1.02,0.0,0.0
82000,1.01,0.18,0.1818
82000,1.01,0.09,0.0909
82000,1.02,0.18,0.18359999999999999
82000,1.02,0.09,0.09179999999999999
84000,1.02,0.36,0.36719999999999997
84000,1.01,-0.53,-0.5353
84000,1.0,0.0,0.0
84000,1.01,-0.27,-0.2727
84000,1.01,0.36,0.3636
86000,1.0,0.27,0.27
86000,1.0,-0.27,-0.27
86000,1.0,-0.27,-0.27
86000,1.01,-0.09,-0.0909
86000,1.0,0.36,0.36
88000,0.99,0.36,0.3564
88000,1.0,-0.09,-0.09
88000,0.98,0.36,0.3528
88000,0.99,-0.09,-0.0891
88000,0.99,0.0,0.0
90000,1.0,0.0,0.0
90000,0.99,-0.27,-0.26730000000000004
90000,0.99,0.53,0.5247
90000,0.98,0.36,0.3528
90000,0.98,0.0,0.0
92000,0.99,-0.09,-0.0891
92000,0.99,-0.27,-0.26730000000000004
92000,0.99,-0.09,-0.0891
92000,1.0,0.0,0.0
92000,1.0,0.09,0.09
94000,1.0,0.27,0.27
94000,1.0,0.09,0.09
94000,0.99,-0.27,-0.26730000000000004
94000,1.0,-0.27,-0.27
94000,1.01,0.18,0.1818
96000,1.01,0.36,0.3636
96000,1.01,0.27,0.2727
96000,1.0,0.0,0.0
96000,1.01,-0.27,-0.2727
96000,1.01,0.27,0.2727
98000,1.0,0.36,0.36
98000,1.0,0.27,0.27
98000,0.99,0.09,0.0891
98000,1.0,0.27,0.27
98000,0.99,0.36,0.3564
100000,0.99,-0.18,-0.1782
100000,1.0,-0.09,-0.09
100000,1.0,-0.27,-0.27
100000,0.99,0.36,0.3564
100000,0.99,0.36,0.3564
102000,1.0,0.09,0.09
102000,1.0,0.09,0.09
102000,1.0,0.27,0.27
102000,0.99,-0.09,-0.0891
102000,1.0,0.09,0.09
104000,1.0,-0.09,-0.09
104000,0.99,0.27,0.26730000000000004
104000,1.0,0.0,0.0
104000,1.0,0.0,0.0
104000,0.99,0.18,0.1782
106000,1.0,-0.09,-0.09
106000,0.99,0.36,0.3564
106000,1.0,0.0,0.0
106000,0.99,0.0,0.0
106000,1.0,0.36,0.36
108000,1.01,0.09,0.0909
108000,1.01,0.0,0.0
108000,1.0,0.18,0.18
108000,1.0,0.09,0.09
108000,1.0,0.09,0.09
110000,1.01,-0.09,-0.0909
110000,1.01,-0.27,-0.2727
110000,1.01,-0.27,-0.2727
110000,1.01,-0.36,-0.3636
110000,1.0,-0.09,-0.09
112000,1.01,-0.09,-0.0909
112000,1.0,-0.36,-0.36
112000,1.0,-0.09,-0.09
112000,1.0,0.09,0.09
112000,1.0,0.09,0.09
114000,1.0,0.0,0.0
114000,1.0,0.09,0.09
114000,1.0,-0.27,-0.27
114000,1.01,0.0,0.0
114000,1.01,0.0,0.0
116000,1.01,-0.09,-0.0909
116000,1.01,-0.09,-0.0909
116000,1.01,-0.09,-0.0909
116000,1.01,0.09,0.0909
116000,1.0,-0.09,-0.09
118000,1.01,0.09,0.0909
118000,1.01,-0.27,-0.2727
118000,1.01,0.0,0.0
118000,1.01,0.18,0.1818
118000,1.02,0.09,0.09179999999999999
120000,1.02,-0.09,-0.09179999999999999
120000,1.0,-0.27,-0.27
120000,1.01,-0.27,-0.2727
120000,1.01,-0.09,-0.0909
120000,1.0,-0.09,-0.09
122000,0.99,-0.09,-0.0891
122000,1.01,0.0,0.0
122000,1.0,0.09,0.09
122000,1.01,-0.18,-0.1818
122000,1.0,-0.36,-0.36
124000,1.0,-0.36,-0.36
124000,1.0,0.09,0.09
124000,1.0,-0.36,-0.36
124000,1.0,-0.27,-0.27
124000,1.01,0.09,0.0909
126000,1.0,-0.09,-0.09
126000,1.0,0.09,0.09
126000,1.01,0.0,0.0
126000,1.0,-0.09,-0.09
126000,1.01,0.0,0.0
128000,1.0,-0.09,-0.09
128000,1.0,-0.18,-0.18
128000,1.0,-0.09,-0.09
128000,1.01,-0.09,-0.0909
128000,1.0,0.09,0.09
130000,1.01,-0.09,-0.0909
130000,1.0,-0.09,-0.09
130000,1.0,0.0,0.0
130000,1.0,0.0,0.0
