Frequency (Hz),Voltage (V),Current (mA),Power (mW)
2000,12.264,28.170731707317074,2768.3
2000,12.252,27.804878048780488,345.2604878048781
2000,12.232,28.414634146341463,346.1207317073171
2000,12.256,28.414634146341463,341.8990243902439
2000,12.248,27.98780487804878,339.5853658536586
4000,12.224,52.4390243902439,335.98341463414636
4000,12.224,52.256097560975604,634.3063414634147
4000,12.24,51.28048780487804,643.23
4000,12.228,52.13414634146341,623.7990243902439
4000,12.224,52.012195121951216,635.7970731707317
6000,12.24,23.658536585365855,471.37951219512195
6000,12.256,22.926829268292682,290.3375609756098
6000,12.252,23.84146341463415,280.0609756097561
6000,12.26,23.414634146341463,277.52609756097564
6000,12.24,22.865853658536587,287.3443902439024
8000,12.244,23.109756097560975,286.6887804878049
8000,12.26,23.109756097560975,286.96975609756095
8000,12.2,72.01219512195121,294.6351219512195
8000,12.204,71.82926829268293,870.2529268292682
8000,12.196,72.07317073170731,875.6231707317073
10000,12.168,90.42682926829268,946.9207317073171
10000,12.176,90.18292682926828,1104.780487804878
10000,12.176,90.60975609756098,1092.5348780487805
10000,12.156,90.24390243902438,1093.9956097560976
10000,12.164,90.30487804878048,1099.9134146341462
12000,12.132,93.78048780487805,1108.0973170731706
12000,12.16,93.29268292682927,1135.180487804878
12000,12.16,93.17073170731707,1127.3948780487806
12000,12.156,94.14634146341463,1134.8070731707319
12000,12.152,93.53658536585365,1135.5417073170731
14000,12.18,80.2439024390244,1095.861951219512
14000,12.164,80.42682926829268,973.5536585365854
14000,12.196,80.67073170731707,980.1560975609757
14000,12.188,80.48780487804878,983.1804878048781
14000,12.272,23.475609756097562,284.72780487804874
16000,12.268,25.73170731707317,304.90536585365857
16000,12.264,23.29268292682927,294.4429268292683
16000,12.252,23.29268292682927,288.2760975609756
16000,12.256,23.475609756097562,294.2507317073171
16000,12.264,24.024390243902438,293.13951219512194
18000,12.248,23.475609756097562,288.4643902439024
18000,12.256,23.109756097560975,292.4870731707318
18000,12.288,23.475609756097562,279.8780487804878
18000,12.276,23.109756097560975,282.670243902439
18000,12.272,23.71951219512195,293.2351219512195
20000,12.236,22.926829268292682,294.6351219512195
20000,12.276,22.804878048780488,288.0926829268293
20000,12.264,26.585365853658537,287.90487804878046
20000,12.24,23.658536585365855,292.39170731707316
