Frequency (Hz),Voltage (V),Current (mA),Power (mW)
61000,8.82,292.4390243902439,2579.3121951219514
61000,11.9,143.71951219512195,1710.2621951219512
61000,11.928,138.90243902439025,1656.828292682927
61000,11.928,142.92682926829266,1704.831219512195
61000,11.96,147.4390243902429,1763.3707317073172
62000,11.872,143.29268292682926,1701.170731707317
62000,11.952,141.09756097560975,1686.3980487804877
62000,11.848,142.98780487804876,1694.1195121951218
62000,11.96,140.2609756097561,1675.129268292683
62000,11.936,145.85365853658536,1740.9092682926828
63000,11.952,145.42682926829266,1738.141463414634
63000,11.932,147.6219512195122,1761.4251219512196
63000,11.928,149.2682926829268,1780.4721951219512
63000,11.92,149.4512195121951,1781.4585365853657
63000,11.928,148.59756097560975,1772.4717073170732
64000,11.94,149.6951219512195,1787.3597560975609
64000,11.92,151.28048780487805,1803.2634146341463
64000,11.948,154.5731707317073,1846.840243902439
64000,11.952,152.3780487804878,1821.2224390243903
64000,11.944,151.64634146341464,1811.2639024390246
65000,11.912,155.79268292682926,1855.8024390243902
65000,11.944,159.08536585365854,1900.1156097560977
65000,11.944,160.3048780487805,1914.6814634146344
65000,11.94,155.97560975609755,1862.3487804878048
65000,11.96,156.9512195121951,1877.1365853658535
66000,11.904,159.02439024390245,1893.0263414634146
66000,11.872,164.02439024390245,1947.2975609756097
66000,11.924,164.51219512195124,1961.6434146341464
66000,11.952,169.45121951219514,2025.2809756097563
66000,11.944,164.9390243902439,1970.0317073170734
67000,11.912,168.71951219512195,2009.7868292682929
67000,11.916,169.9390243902439,2024.9934146341463
67000,11.912,172.5,2054.82
67000,11.952,164.9390243902439,1971.351219512195
67000,11.928,166.40243902439025,1984.848292682927
68000,11.952,175.24390243902437,2094.515121951219
68000,11.972,171.28048780487805,2050.5699999999997
68000,11.992,176.64634146341461,2118.3429268292684
68000,11.96,169.45121951219514,2026.636585365854
68000,11.936,178.59756097560975,2131.740487804878
69000,11.96,184.3292682926829,2204.5780487804877
69000,11.984,167.3780487804878,2005.8585365853658
69000,11.952,152.1341463414634,1818.3073170731707
69000,11.992,180.54878048780486,2165.140975609756
69000,11.964,183.17073170731706,2191.4546341463415
70000,11.92,183.90243902439025,2192.1170731707316
70000,11.988,182.98780487804876,2193.6578048780484
70000,11.944,181.15853658536585,2163.75756097561
70000,11.98,186.82926829268294,2238.2146341463417
70000,11.96,184.390243902439,2205.307317073171
71000,11.968,187.5,2244.0
71000,11.964,188.41463414634146,2254.192682926829
71000,11.944,192.9878048780488,2305.046341463415
71000,11.928,186.58536585365854,2225.5902439024394
71000,11.952,190.7317073170732,2279.625365853659
72000,11.928,197.6829268292683,2357.9619512195122
72000,11.984,196.21951219512195,2351.4946341463415
72000,11.988,197.01219512195124,2361.782195121951
72000,11.96,198.90243902439025,2378.8731707317074
72000,11.968,197.19512195121953,2360.0312195121955
73000,11.96,201.52439024390245,2410.2317073170734
73000,11.96,202.5,2421.9
73000,11.976,199.75609756097563,2392.2790243902446
73000,11.948,202.5609756097561,2420.198536585366
73000,11.992,202.5609756097561,2429.1112195121955
74000,11.928,204.7560975609756,2442.330731707317
74000,11.936,203.78048780487805,2432.3239024390246
74000,11.744,202.5,2378.16
74000,11.904,204.7560975609756,2437.4165853658537
74000,12.008,201.89024390243904,2424.298048780488
75000,11.916,209.14634146341461,2492.1878048780486
75000,11.968,210.67073170731706,2521.3073170731705
75000,11.996,207.86585365853657,2493.5587804878046
75000,11.952,211.15853658536585,2523.7668292682924
75000,11.964,209.14634146341461,2502.2268292682925
76000,11.984,212.5,2546.6
76000,11.992,212.6219512195122,2549.7624390243905
76000,11.96,210.0609756097561,2512.329268292683
76000,11.948,216.03658536585365,2581.2051219512196
76000,11.96,215.0609756097561,2572.1292682926833
77000,11.96,223.71951219512195,2675.685365853659
77000,11.936,223.109756097561,2663.0380487804878
77000,11.928,217.0731707317073,2589.248780487805
77000,11.932,217.4390243902439,2594.4824390243903
77000,11.936,219.5121951219512,2620.0975609756097
78000,11.972,224.7560975609756,2690.7799999999997
78000,11.952,225.4268292682927,2694.3014634146343
78000,11.96,225.2439024390244,2693.917073170732
78000,11.936,225.4878048780488,2691.4224390243903
78000,11.964,221.70731707317074,2652.5063414634146
79000,11.932,226.64634146341464,2704.344146341464
79000,11.956,231.70731707317074,2770.2926829268295
79000,11.96,234.4512195121951,2804.0365853658536
79000,11.928,229.8780487804878,2741.9853658536585
79000,11.968,229.14634146341464,2742.4234146341464
80000,11.968,233.2317073170732,2791.317073170732
80000,11.98,234.2682926829268,2806.5341463414634
80000,11.988,230.1829268292683,2759.432926829268
80000,11.976,236.890243902439,2836.9975609756098
80000,11.96,233.2317073170732,2789.4512195121956
81000,11.988,239.4512195121951,2870.541219512195
81000,12.02,239.2682926829268,2876.00487804878
81000,12.024,238.10975609756096,2863.0317073170727
81000,11.92,239.9390243902439,2860.0731707317073
81000,11.984,242.6219512195122,2907.581463414634
82000,11.996,245.67073170731706,2947.066097560976
82000,11.968,248.71951219512195,2976.6751219512194
82000,12.008,248.96341463414635,2989.552682926829
82000,11.96,250.73170731707316,2998.7512195121953
82000,11.964,249.6951219512195,2987.35243902439
83000,12.028,251.70731707317074,3027.535609756098
83000,11.992,253.53658536585365,3040.410731707317
83000,11.976,258.9024390243903,3100.6156097560984
83000,12.076,259.3292682926829,3131.660243902439
83000,12.024,258.2317073170732,3104.978048780488
84000,11.984,263.5975609756098,3158.953170731708
84000,12.064,269.5121951219512,3251.3951219512196
84000,11.968,264.8780487804878,3170.060487804878
84000,11.98,263.8414634146342,3160.8207317073175
84000,12.068,266.219512195122,3212.737073170732
85000,12.364,271.4024390243903,3355.6197560975615
85000,12.032,276.219512195122,3323.473170731708
85000,12.06,275.6707317073171,3324.589024390244
85000,11.988,276.89024390243907,3319.3602439024394
85000,12.076,276.0365853658537,3333.417804878049
86000,11.908,295.2439024390244,3515.764390243902
86000,11.876,287.1341463414634,3410.0051219512193
86000,11.988,289.390243902439,3469.210243902439
86000,11.876,297.4390243902439,3532.3858536585362
86000,11.792,287.1341463414634,3385.8858536585362
87000,12.052,305.4878048780488,3681.739024390244
87000,12.044,304.390243902439,3666.0760975609755
87000,11.992,308.109756097561,3694.852195121952
87000,12.32,306.7073170731707,3778.6341463414633
87000,12.116,299.6951219512195,3631.1060975609753
88000,11.876,319.3292682926829,3792.354390243902
88000,11.976,317.5,3802.38
88000,12.076,317.7439024390244,3837.0753658536587
88000,12.156,315.3048780487805,3832.846097560976
88000,12.032,320.9756097560976,3861.9785365853663
89000,12.132,335.4878048780488,4070.1380487804877
89000,12.176,343.0487804878049,4176.961951219512
89000,12.032,340.1829268292683,4093.080975609756
89000,12.14,341.76829268292687,4149.067073170732
89000,12.216,342.6219512195122,4185.469756097561
90000,12.152,360.5487804878049,4381.388780487805
90000,12.1,361.6463414634146,4375.920731707317
90000,12.048,359.2073170731707,4327.729756097561
90000,12.124,359.9390243902439,4363.900731707317
90000,12.108,365.0609756097561,4420.158292682927
91000,11.984,394.26829268292687,4724.911219512195
91000,12.272,390.4268292682927,4791.318048780488
91000,12.16,396.89024390243907,4826.185365853659
91000,12.244,392.1951219512195,4802.037073170732
91000,12.1,395.4878048780488,4785.40243902439
92000,12.264,430.1829268292683,5275.763414634146
92000,12.172,428.780487804878,5219.1160975609755
92000,12.136,428.109756097561,5195.54
92000,12.112,428.9634146341463,5195.60487804878
92000,12.196,427.3780487804878,5212.302682926829
93000,12.108,462.7439024390244,5602.903170731708
93000,12.144,460.4878048780488,5592.163902439024
93000,12.184,459.39024390243907,5597.210731707317
93000,12.156,462.5,5622.150000000001
93000,12.056,460.8536585365854,5556.051707317073
94000,12.156,501.0365853658536,6090.600731707317
94000,12.1,506.9512195121951,6134.10975609756
94000,12.108,502.25609756097555,6081.316829268292
94000,12.12,500.79268292682923,6069.60731707317
94000,12.088,501.219512195122,6058.741463414634
95000,12.148,533.9024390243902,6485.846829268292
95000,12.064,550.4878048780488,6641.08487804878
